Name,Municipality,County,Address,Student body count,Latitude,Longitude
Berg skole,Sømna,Nordland,"Berg, 8920 SØMNA",14,65.3669368,12.1997171
Hilstad barne- og ungdomsskole,Brønnøy,Nordland,"8960, HOMMELSTØ  ",9,65.4068975,12.5519993
Nordhus skole,Brønnøy,Nordland,"Nordhus, 8900 BRØNNØYSUND",12,65.4274228,12.0115488
Torget skole,Brønnøy,Nordland,"Greåker, 8900 BRØNNØYSUND",1,65.463859,12.197999
Brønnøysund barne- og ungdomsskole,Brønnøy,Nordland,"Skolegata 8, 8900 BRØNNØYSUND",394,65.4670808,12.2092242
Salhus skole,Brønnøy,Nordland,"Salhus, 8900 BRØNNØYSUND",453,65.490825,12.2369302
Susendal skole og Barnehage - Avdeling skole,Hattfjelldal,Nordland,"Susendal, 8690 HATTFJELLDAL",,65.5268289,14.1867448
Hattfjelldal skole,Hattfjelldal,Nordland,"8690, HATTFJELLDAL  ",17,65.5268289,14.1867448
Sameskolen for Midt-Norge,Hattfjelldal,Nordland,"Kalviksveien 1, 8690 HATTFJELLDAL",1,65.5268289,14.1867448
Vartresk Oppvekstsenter - Avdeling skole,Hattfjelldal,Nordland,"Varntresk, 8690 HATTFJELLDAL",17,65.5268289,14.1867448
Grane barne- og ungdomsskole,Grane,Nordland,"Skoleveien 17, 8680 TROFORS",18,65.5337741,13.3980472
Vevelstad Sentralskole,Vevelstad,Nordland,"8976, VEVELSTAD  ",2,65.66272,12.3846422
Vega barne- og ungdomsskole,Vega,Nordland,"Gladstad, 8980 VEGA",13,65.6773245,11.9613707
Mindland barneskole,Alstahaug,Nordland,"Mindland, 8860 TJØTTA",3,65.7732082,12.437484
Olderskog skole,Vefsn,Nordland,"Skul-Svends Veg 5, 8661 MOSJØEN",331,65.8233175,13.2192795
Tjøtta barne- og ungdomsskole,Alstahaug,Nordland,"Sjømyra 1, 8860 TJØTTA",4,65.8235184,12.4199037
Granmoen skole,Vefsn,Nordland,"Kippermovegen 30, 8661 MOSJØEN",111,65.8287539,13.2242804
Kippermoen ungdomsskole,Vefsn,Nordland,"Kippermoen 40, 8661 MOSJØEN",146,65.8397295,13.1902796
Mosjøen skole,Vefsn,Nordland,"Marka, 8659 MOSJØEN",312,65.8553964,13.1984033
Kulstad skole,Vefsn,Nordland,"Stortingsmannsvegen 20, 8665 MOSJØEN",52,65.867318,13.20125
Bleikvassli skole,Hemnes,Nordland,"Bleikvasslia, 8647 BLEIKVASSLIA",6,65.9085965,13.8073026
Austbø barne- og ungdomsskole,Alstahaug,Nordland,"8854, AUSTBØ  ",3,65.9356661,12.3629457
Søvik barne- og ungdomsskole,Alstahaug,Nordland,"Søvik, 8800 SANDNESSJØEN",4,65.9611667,12.4739711
Ura skole,Alstahaug,Nordland,"Novikveien 130, 8800 SANDNESSJØEN",79,66.0032268,12.5645308
Sandnessjøen ungdomsskole,Alstahaug,Nordland,"Novikveien 45, 8800 SANDNESSJØEN",4,66.0140601,12.6007716
Sandnes barneskole,Alstahaug,Nordland,"Øysteins Gate 9, 8800 SANDNESSJØEN",18,66.01544,12.6408799
Barnetjønna barneskole,Alstahaug,Nordland,"Trollskarveien 9, 8800 SANDNESSJØEN",,66.0159952,12.6152635
Korgen Sentralskole,Hemnes,Nordland,"Røyrdalsmoen 1, 8646 KORGEN",262,66.0765866,13.8084844
Bjørn Montessoriskole,Dønna,Nordland,"Bjørn, 8820 DØNNA",5,66.0814853,12.5835359
Leines Oppvekstsenter - Avdeling skole,Leirfjord,Nordland,"Leines, 8890 LEIRFJORD",,66.0923251,13.0331565
Tverlandet skole,Leirfjord,Nordland,"Øvre Kjærstad, 8890 LEIRFJORD",3,66.0923251,13.0331565
Leirfjord barne- og ungdomsskole,Leirfjord,Nordland,"8890, LEIRFJORD  ",8,66.0923251,13.0331565
Elsfjord Oppvekstsenter skole,Vefsn,Nordland,"Elsfjord, 8672 ELSFJORD",2,66.1011109,13.5419499
Midtbygda Sentralskole,Dønna,Nordland,"Solfjellsjøen, 8820 DØNNA",4,66.1080542,12.4883326
Herøy Sentralskole,Herøy,Nordland,"8850, HERØY  ",21,66.1182275,11.8263669
Ulvang skole,Leirfjord,Nordland,"Ulvangen, 8890 LEIRFJORD",60,66.1256531,12.7832198
Løkta skole,Dønna,Nordland,"8813, KOPARDAL  ",23,66.1526162,12.7505674
Sørlandet Oppvekstsenter - Avdeling skole,Leirfjord,Nordland,"Levang, 8890 LEIRFJORD",,66.1552183,13.0888294
Stavseng skole,Dønna,Nordland,"Stavseng, 8820 DØNNA",5,66.1771629,12.5472357
Finneidfjord skole,Hemnes,Nordland,"Skolevegen 4, 8642 FINNEIDFJORD",9,66.1863477,13.7915197
Nesnaøyene Oppvekstsenter - Avd Tomma skole,Nesna,Nordland,"Movegen 24, 8700 NESNA",6,66.1994711,13.0172853
Nesna skole,Nesna,Nordland,"Movegen 24, 8700 NESNA",223,66.1994711,13.0172853
Hemnes Sentralskole,Hemnes,Nordland,"Skolegata 6a, 8640 HEMNESBERGET",14,66.2256152,13.6047353
Dalsgrenda skole,Rana,Nordland,"Øverdalsveien 18, 8617 DALSGRENDA",46,66.248788,13.9957904
Hauknes skole,Rana,Nordland,"Kveldsolgata 99, 8618 MO I RANA",7,66.2864195,14.0524565
