Østfold;Rygge;Vang skole;VESTERÅSVEIEN 45;1570;DILLING;216
Østfold;Rygge;Øreåsen barne- og ungdomsskole;Øreåsveien 8;1528;MOSS;516
Østfold;Råde;Råde Skolestyre; ; ;;0
Østfold;Råde;Karlshus skole;SKOLEVEIEN 5;1640;RÅDE;302
Østfold;Råde;Råde ungdomsskole;Idrettsveien 30;1640;RÅDE;254
Østfold;Råde;Spetalen skole;RÅDE;1642;SALTNES;307
Østfold;Rømskog;Rømskog Skolestyre; Rømskog skole; 1950;;0
Østfold;Rømskog;Rømskog skole;;1950;RØMSKOG;60
Østfold;Sarpsborg;Utvikling oppvekst;Sarpsborg rådhus;1700;;0
Østfold;Sarpsborg;Alvimhaugen barneskole;Utsiktsveien 35;1725;SARPSBORG;175
Østfold;Sarpsborg;Borgen barneskole;Elgveien 2;1739;BORGENHAUGEN;302
Østfold;Sarpsborg;Grålum barneskole;Grålumveien 203;1712;GRÅLUM;374
Østfold;Sarpsborg;Grålum ungdomsskole;Haraldstadveien 13;1712;GRÅLUM;335
Østfold;Sarpsborg;Hafslund barneskole;Ryes vei 3;1738;BORGENHAUGEN;407
Østfold;Sarpsborg;Hafslund ungdomsskole;Ryes vei 1;1738;BORGENHAUGEN;367
Østfold;Sarpsborg;Hafslundsøy barneskole;Hagastuveien 60;1734;HAFSLUNDSØY;239
Østfold;Sarpsborg;Hannestad barneskole;Mellommyr 2 A;1715;YVEN;260
Østfold;Sarpsborg;Hornnes barneskole;SKOLEBAKKEN 5;1746;SKJEBERG;307
Østfold;Sarpsborg;Jelsnes barneskole;JELSNESVEIEN 820;1708;SARPSBORG;63
Østfold;Sarpsborg;Kruseløkka ungdomsskole;H N Hauges gate 33;1723;SARPSBORG;464
Østfold;Sarpsborg;Kurland barneskole;Per Gyntveien 7;1709;SARPSBORG;557
Østfold;Sarpsborg;Lande barneskole;Triangelveien 5;1710;SARPSBORG;503
Østfold;Sarpsborg;Navestad barneskole;NAVESTADVEIEN 98;1738;BORGENHAUGEN;51
Østfold;Sarpsborg;Sandbakken barne- og ungdomsskole;Skjebergveien 165;1743;KLAVESTADHAUGEN;316
Østfold;Sarpsborg;Sandbakken skole;SANDBAKKEN;1743;KLAVESTADHAUGEN;286
Østfold;Sarpsborg;Sandesundsveien barneskole;SANDESUNDSVEIEN 53;1724;SARPSBORG;365
Østfold;Sarpsborg;Tindlund barneskole;Østre Greåkervei 19;1718;GREÅKER;353
Østfold;Sarpsborg;Tindlund ungdomsskole;Myrstadveien 2;1718;GREÅKER;323
Østfold;Sarpsborg;Tunhaug skole;Knobels vei 2 A;1711;SARPSBORG;5
Østfold;Sarpsborg;Ullerøy barneskole;Ullerøy;1747;SKJEBERG;54
Østfold;Sarpsborg;Varteig barne- og ungdomsskole;Lundeveien 35;1735;VARTEIG;428
Østfold;Skiptvet;Sentraladministrasjonen;Storveien 28;1816;SKIPTVET;0
